ano,codigo_municipio,lista_id,votos_nominais_validos_lista,votos_legenda_validos_lista,votos_validos_lista,partidos_na_lista,votos_validos_municipio,fracao_votos_lista
2024,87360,PARTIDO:PP,661,21,682,1,3696,0.18452380952380953
2024,87360,PARTIDO:PSB,615,9,624,1,3696,0.16883116883116883
2024,87360,PARTIDO:PSD,1218,8,1226,1,3696,0.33170995670995673
2024,87360,PARTIDO:UNIÃO,850,28,878,1,3696,0.23755411255411255
2024,87378,FEDERACAO:101,848,33,881,3,24216,0.036380905186653455
2024,87378,PARTIDO:MDB,8204,313,8517,1,24216,0.3517096134786918
2024,87378,PARTIDO:PL,2570,227,2797,1,24216,0.11550214734060125
2024,87378,PARTIDO:PP,5889,65,5954,1,24216,0.24587049884373968
2024,87378,PARTIDO:PSB,3122,32,3154,1,24216,0.13024446646845061
2024,87378,PARTIDO:PSD,1547,18,1565,1,24216,0.06462669309547407
2024,87378,PARTIDO:UNIÃO,1326,22,1348,1,24216,0.055665675586389164
2024,87386,FEDERACAO:101,513,2,515,3,3266,0.1576852418860992
2024,87386,PARTIDO:MDB,720,7,727,1,3266,0.22259644825474587
2024,87386,PARTIDO:PDT,611,33,644,1,3266,0.19718309859154928
