ano,codigo_municipio,SG_PARTIDO,lista_id,municipio_partido,votos_legenda_validos,votos_nominais_convertidos_legenda,total_votos_legenda_validos,votos_nominais_validos_partido,votos_validos_partido,partido_normalizado,fracao_votos_partido
2020,87815,PSC,PARTIDO:PSC,PANAMBI,17,0,17,869,886,PSC,0.03805024694009019
2020,87815,PSD,PARTIDO:PSD,PANAMBI,15,0,15,2231,2246,PSD,0.09645694653210221
2020,87815,PSL,PARTIDO:PSL,PANAMBI,3,0,3,208,211,PSL,0.009061627657290102
2020,87815,PT,PARTIDO:PT,PANAMBI,133,0,133,1636,1769,PT,0.07597165557225682
2020,87815,PTB,PARTIDO:PTB,PANAMBI,20,0,20,1154,1174,PTB,0.050418724500751556
2020,87815,REPUBLICANOS,PARTIDO:REPUBLICANOS,PANAMBI,16,0,16,590,606,REPUBLICANOS,0.026025338200558298
2020,87823,PDT,PARTIDO:PDT,SÃO PEDRO DO BUTIÁ,14,0,14,637,651,PDT,0.2809667673716012
2020,87823,PP,PARTIDO:PP,SÃO PEDRO DO BUTIÁ,37,0,37,537,574,PP,0.24773413897280966
2020,87823,PT,PARTIDO:PT,SÃO PEDRO DO BUTIÁ,36,0,36,1056,1092,PT,0.47129909365558914
2020,87831,MDB,PARTIDO:MDB,PARAÍ,110,0,110,2283,2393,MDB,0.45904469595242664
2020,87831,PP,PARTIDO:PP,PARAÍ,132,0,132,2688,2820,PP,0.5409553040475734
2020,87840,MDB,PARTIDO:MDB,SÃO VALENTIM DO SUL,50,0,50,1191,1241,MDB,0.6545358649789029
2020,87840,PDT,PARTIDO:PDT,SÃO VALENTIM DO SUL,6,0,6,449,455,PDT,0.2399789029535865
2020,87840,PSB,PARTIDO:PSB,SÃO VALENTIM DO SUL,3,0,3,197,200,PSB,0.10548523206751055
2020,87858,CIDADANIA,PARTIDO:CIDADANIA,PASSO FUNDO,58,0,58,3715,3773,CIDADANIA,0.037911977491961416
2020,87858,DEM,PARTIDO:DEM,PASSO FUNDO,112,0,112,8821,8933,DEM,0.08976085209003215
2020,87858,MDB,PARTIDO:MDB,PASSO FUNDO,156,0,156,6923,7079,MDB,0.0711314308681672
2020,87858,PC do B,PARTIDO:PC do B,PASSO FUNDO,209,0,209,2936,3145,PC DO B,0.03160168810289389
2020,87858,PDT,PARTIDO:PDT,PASSO FUNDO,935,0,935,13386,14321,PDT,0.1439007234726688
2020,87858,PL,PARTIDO:PL,PASSO FUNDO,98,0,98,6767,6865,PL,0.06898110932475884
2020,87858,PODE,PARTIDO:PODE,PASSO FUNDO,30,0,30,124,154,PODE,0.001547427652733119
